Model,Calibration_intercept,Calibration_slope,Intercept_SE,Slope_SE
Elastic Net,-2.6987438919670286,0.6122231261517548,0.17260271506754798,0.15873508346203088
Random Forest,-2.1219737256035125,1.048164882908192,0.20178247690301923,0.24342391480938516
XGBoost,-2.0003596655731255,0.37332625105620026,0.21578466596577892,0.08379626852374017
